Stock,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-05
AAPL,210.26947897431722,209.60376959651484,210.4614712677329,210.22360143070333,210.43397402729795
AVGO,190.60888939263845,190.3521185214046,190.45411961133215,190.56597413939812,190.59968024947116
CRM,267.5134548104558,267.9279065478986,268.32853875457795,268.38757744994683,268.54789692764484
CSCO,56.60851896910747,56.370327570373405,56.57680150418387,56.45452769768955,56.60508377039525
IBM,233.08050376814182,233.62825051632393,232.7050529590814,232.63620146088783,232.98333500870703
MSFT,391.1894637047715,391.9450982432502,392.0855729751486,392.05128633035855,392.05097204766645
NOW,961.6605187241746,959.5964841260186,965.2983831181136,959.8421321359551,958.8144938388141
NVDA,109.86714248825896,109.23660368004238,109.70557416808317,109.73982345073938,109.72913318585455
ORCL,139.63347432656474,139.58422349475293,139.68954871079515,139.62504211369583,139.63130386057563
PLTR,114.404902600519,113.85873204846294,114.51571758909985,114.5507100576603,114.23517693012823
