Stock,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-05
AAPL,211.2100067138672,212.5,213.32000732421875,205.3500061035156,198.88999938964844
AVGO,191.1699981689453,192.47000122070312,197.3300018310547,203.63999938964844,200.72000122070312
CRM,267.760009765625,268.7099914550781,269.3299865722656,275.0799865722656,272.6300048828125
CSCO,57.34000015258789,57.72999954223633,58.119998931884766,59.33000183105469,59.31999969482422
IBM,239.38999938964844,241.82000732421875,239.66000366210935,245.5500030517578,249.17999267578125
MSFT,394.0400085449219,395.260009765625,425.3999938964844,435.2799987792969,436.1700134277344
NOW,942.8599853515624,955.010009765625,957.9500122070312,977.3599853515624,978.0499877929688
NVDA,109.0199966430664,108.91999816894533,111.61000061035156,114.5,113.81999969482422
ORCL,140.7899932861328,140.72000122070312,145.49000549316406,150.72999572753906,149.2899932861328
PLTR,116.08000183105467,118.44000244140624,116.1999969482422,124.27999877929688,123.7699966430664
