Stock,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-05
AAPL,210.15595949212718,210.2913377563733,210.4044794775565,210.49869008323188,210.59011284584534
AVGO,189.95235250909937,189.30273338901657,188.58999764971938,187.80627254687258,186.9500665319645
CRM,267.96431635780186,267.6099430021612,267.35832940798656,267.5191963482017,267.94377994305074
CSCO,56.61061895511645,56.68384382611996,56.72379041169975,56.746729686421965,56.754408476123736
IBM,232.3059303836175,231.58062621231974,230.75121890417788,229.9510255278506,229.3542697753275
MSFT,392.1092341706887,392.2515927115748,392.3870132469008,392.50481481718106,392.61470491542883
NOW,960.7346423191813,961.4333446189248,962.169486701751,963.0451645913281,963.8415733521052
NVDA,109.7743256667053,109.8418889629298,109.86072474500078,109.8547950168906,109.79019661279635
ORCL,140.06512647964612,140.03551901096026,140.32157540877756,140.5101388654884,140.54478454687901
PLTR,114.16644689555804,114.55445848957716,114.94307953020041,115.33266323727103,115.72371405770394
