Stock,Model,Date,Prediction,Actual,RMSE,ConfidenceScore (%)
AAPL,Transformer,2025-04-29,210.56105062920557,211.2100067138672,0.649,99.69
AAPL,LSTM,2025-04-29,210.1559594921272,211.2100067138672,1.054,99.5
AAPL,ARIMA,2025-04-29,210.2694789743172,211.2100067138672,0.9405,99.55
AVGO,Transformer,2025-04-29,189.42415751429888,191.1699981689453,1.7458,99.09
AVGO,LSTM,2025-04-29,189.95235250909937,191.1699981689453,1.2176,99.36
AVGO,ARIMA,2025-04-29,190.60888939263845,191.1699981689453,0.5611,99.71
CRM,Transformer,2025-04-29,267.8814810862479,267.760009765625,0.1215,99.95
CRM,LSTM,2025-04-29,267.96431635780186,267.760009765625,0.2043,99.92
CRM,ARIMA,2025-04-29,267.5134548104558,267.760009765625,0.2466,99.91
CSCO,Transformer,2025-04-29,56.47255105857664,57.34000015258789,0.8674,98.49
CSCO,LSTM,2025-04-29,56.61061895511645,57.34000015258789,0.7294,98.73
CSCO,ARIMA,2025-04-29,56.60851896910747,57.34000015258789,0.7315,98.72
IBM,Transformer,2025-04-29,233.03871282996235,239.38999938964844,6.3513,97.35
IBM,LSTM,2025-04-29,232.3059303836175,239.38999938964844,7.0841,97.04
IBM,ARIMA,2025-04-29,233.08050376814185,239.38999938964844,6.3095,97.36
MSFT,Transformer,2025-04-29,391.3096985378863,394.0400085449219,2.7303,99.31
MSFT,LSTM,2025-04-29,392.1092341706887,394.0400085449219,1.9308,99.51
MSFT,ARIMA,2025-04-29,391.1894637047715,394.0400085449219,2.8505,99.28
NOW,Transformer,2025-04-29,955.99791145393,942.8599853515624,13.1379,98.61
NOW,LSTM,2025-04-29,960.7346423191811,942.8599853515624,17.8747,98.1
NOW,ARIMA,2025-04-29,961.6605187241746,942.8599853515624,18.8005,98.01
NVDA,Transformer,2025-04-29,109.50359083889768,109.0199966430664,0.4836,99.56
NVDA,LSTM,2025-04-29,109.7743256667053,109.0199966430664,0.7543,99.31
NVDA,ARIMA,2025-04-29,109.86714248825896,109.0199966430664,0.8471,99.22
ORCL,Transformer,2025-04-29,138.87670823964024,140.7899932861328,1.9133,98.64
ORCL,LSTM,2025-04-29,140.06512647964612,140.7899932861328,0.7249,99.49
ORCL,ARIMA,2025-04-29,139.63347432656474,140.7899932861328,1.1565,99.18
PLTR,Transformer,2025-04-29,114.79815406099172,116.08000183105467,1.2818,98.9
PLTR,LSTM,2025-04-29,114.16644689555804,116.08000183105467,1.9136,98.35
PLTR,ARIMA,2025-04-29,114.404902600519,116.08000183105467,1.6751,98.56
