Stock,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-05
AAPL,210.56105062920554,211.01987668696975,211.35169906333317,211.60281711610713,211.77062992346333
AVGO,189.42415751429886,188.19852792349192,186.89851751563748,185.58100401631935,184.22196725219672
CRM,267.8814810862479,267.65002127521416,267.520740026878,267.46652456315456,267.4972644486507
CSCO,56.472551058576634,56.39897432488883,56.31182830447201,56.210514257911136,56.07546405007538
IBM,233.03871282996235,233.2130839332578,233.37794209031236,233.5347659328812,233.68010242943626
MSFT,391.3096985378863,390.7240015955859,390.17811115745593,389.6656069114649,389.16079098466605
NOW,955.99791145393,952.3540739888456,949.1057825411862,946.3500840841705,943.9031054784133
NVDA,109.50359083889768,109.32275615354757,109.15000251253632,108.99695086423475,108.84191024884896
ORCL,138.87670823964024,138.09457783634494,137.3145314225396,136.56324847294655,135.88286731874538
PLTR,114.79815406099172,115.8409129333429,116.89634541621483,117.95003505789575,119.04006535442761
